Run_Name,u_sun_alt,u_clouds,u_rain,u_wetness,u_fog_den,Max_CTE,Min_TLC,RMS_Jerk_Long,RMS_Jerk_Lat,Max_Jerk_Long,Max_Jerk_Lat,Total_Evasions,LDR_Percent
run_041_Town02_rt0_LHS_040,0.8503,0.5016,0.2202,0.6116,0.125,0.8588,0.03,32.7985,16.6896,278.32,130.52,0,0.0
run_042_Town02_rt0_LHS_041,0.1709,0.9549,0.7582,0.7558,0.4107,1.8835,0.0,29.5749,20.0315,344.12,145.04,0,0.0
run_043_Town02_rt0_LHS_042,0.3836,0.8575,0.012,0.0799,0.2619,1.1048,0.0164,35.3791,34.0264,181.22,237.54,0,0.0
run_044_Town02_rt0_LHS_043,0.2715,0.0485,0.5984,0.1256,0.0495,1.1698,0.0157,26.9381,30.6633,179.42,288.22,0,0.0
run_045_Town02_rt0_LHS_044,0.3128,0.6059,0.0273,0.5969,0.6251,1.577,0.0374,27.502,21.7289,266.2,186.48,0,0.0
run_046_Town02_rt0_LHS_045,0.4631,0.0398,0.1403,0.5334,0.6874,1.5972,0.0224,26.1352,20.5134,276.06,314.62,0,0.0
run_047_Town02_rt0_LHS_046,0.5337,0.5323,0.9251,0.94,0.9764,1.0459,0.0182,25.7649,19.0436,244.26,157.44,0,0.0
run_048_Town02_rt0_LHS_047,0.3267,0.0217,0.7384,0.5046,0.4323,1.5692,0.0217,25.0163,20.3804,176.64,214.44,0,0.0
run_049_Town02_rt0_LHS_048,0.9866,0.553,0.8481,0.2964,0.5345,1.028,0.0187,27.1188,24.9379,261.44,197.22,0,0.0
run_050_Town02_rt0_LHS_049,0.8746,0.8558,0.6776,0.8543,0.3071,1.1434,0.0145,28.7433,29.965,256.36,163.12,0,0.0
run_051_Town02_rt0_LHS_050,0.397,0.809,0.1917,0.6442,0.8262,1.9296,0.0,26.0036,19.7721,287.52,178.8,0,0.0
run_052_Town02_rt0_LHS_051,0.3478,0.4893,0.4939,0.3601,0.6,1.1648,0.0138,24.705,21.5638,178.78,307.34,0,0.0
run_053_Town02_rt0_LHS_052,0.7192,0.096,0.9801,0.0989,0.841,1.0851,0.0182,26.3814,18.4762,276.56,111.22,0,0.0
run_054_Town02_rt0_LHS_053,0.4458,0.0088,0.7445,0.9087,0.3556,1.9322,0.0,36.1559,26.1151,304.26,210.14,4,0.28
run_055_Town02_rt0_LHS_054,0.9157,0.7288,0.2353,0.6377,0.0858,1.0809,0.0186,35.1265,21.8419,273.74,181.66,0,0.0
run_056_Town02_rt0_LHS_055,0.6608,0.1241,0.4013,0.4665,0.9433,1.1468,0.0159,24.3787,19.3306,254.54,262.34,0,0.0
run_057_Town02_rt0_LHS_056,0.7478,0.9839,0.0946,0.5242,0.7262,1.0644,0.0207,26.4134,19.2396,288.2,209.44,0,0.0
run_058_Town02_rt0_LHS_057,0.95,0.5721,0.5559,0.6891,0.6026,1.0413,0.0194,25.5551,19.3732,253.86,180.48,0,0.0
run_059_Town02_rt0_LHS_058,0.4894,0.3058,0.5169,0.424,0.1088,1.2032,0.0194,25.9222,21.1925,209.12,226.3,0,0.0
run_060_Town02_rt0_LHS_059,0.1322,0.109,0.6564,0.8411,0.0273,1.7055,0.0078,28.0116,22.4977,343.2,315.8,3,0.39
run_061_Town02_rt0_LHS_060,0.0107,0.4456,0.0755,0.9254,0.7899,1.7327,0.0051,28.6022,20.5303,303.2,157.3,5,0.34
run_062_Town02_rt0_LHS_061,0.6341,0.7963,0.5416,0.9592,0.4505,1.0764,0.0185,26.2782,22.281,279.28,109.08,0,0.0
run_063_Town02_rt0_LHS_062,0.4719,0.962,0.1131,0.9833,0.4877,1.7932,0.0,28.1511,19.4961,245.32,150.12,2,0.17
run_064_Town02_rt0_LHS_063,0.7383,0.0836,0.4653,0.4349,0.1528,1.3375,0.0255,31.5928,23.3773,255.82,194.78,0,0.0
run_065_Town02_rt0_LHS_064,0.6964,0.2455,0.9524,0.6147,0.4738,1.1848,0.0136,24.7037,20.5679,255.4,269.48,0,0.0
run_066_Town02_rt0_LHS_065,0.7128,0.2048,0.6277,0.7427,0.3282,1.3348,0.026,21.3984,21.3258,255.42,257.86,0,0.0
run_067_Town02_rt0_LHS_066,0.3674,0.0658,0.0602,0.3041,0.8051,1.3283,0.0248,31.405,21.3909,179.78,314.44,0,0.0
run_068_Town02_rt0_LHS_067,0.7759,0.2382,0.1202,0.8623,0.3572,1.3124,0.0268,24.071,20.7958,255.76,187.82,0,0.0
run_069_Town02_rt0_LHS_068,0.5159,0.1962,0.3151,0.2194,0.5835,0.9078,0.025,24.8582,18.4812,255.44,145.1,0,0.0
run_070_Town02_rt0_LHS_069,0.1169,0.779,0.9317,0.029,0.2039,1.2273,0.024,27.6741,23.2429,277.84,196.84,0,0.0
